place-name,type,notes
porte de la chapelle,monument,
porte d'aubervilliers,monument,
porte de la villette,monument,
porte de pantin,monument,
porte chaumont,monument,
porte brunet,monument,
porte du pré-saint-gervais,monument,
porte des lilas,monument,
porte de ménilmontant,monument,
porte de bagnolet,monument,
porte de montreuil,monument,
porte de vincennes,monument,
porte jaune,monument,
porte de saint-mandé,monument,
porte de montempoivre,monument,
porte dorée,monument,porte de picpus
porte de reuilly,monument,
porte de charenton,monument,
porte de bercy,monument,
porte de la gare,monument,
porte de vitry,monument,
porte d'ivry,monument,
porte de choisy,monument,
porte d'italie,monument,
poterne des peupliers,monument,
porte de gentilly,monument,
porte d'arcueil,monument,
porte d'orléans,monument,
porte de montrouge,monument,
porte didot,monument,
porte de vanves,monument,
porte de châtillon,monument,
porte brancion,monument,
porte de plaisance,monument,
porte de la plaine,monument,
porte de versailles,monument,
porte d'issy,monument,
porte de sèvres,monument,
porte du point-du-jour,monument,
porte de saint-cloud,monument,
porte molitor,monument,
porte de boulogne,monument,
porte de l'hippodrome,monument,
porte d'auteuil,monument,
porte de passy,monument,
porte de la muette,monument,
porte dauphine,monument,
porte de la seine,monument,
porte de madrid,monument,
porte saint-james,monument,
porte de neuilly,monument,
porte des sablons,monument,
porte maillot,monument,
porte des ternes,monument,
porte de villiers,monument,
porte de champerret,monument,
porte de courcelles,monument,
porte d'asnières,monument,
porte de clichy,monument,
porte pouchet,monument,
porte de saint-ouen,monument,
porte de montmartre,monument,
porte de clignancourt,monument,
porte des poissonniers,monumment,
porte saint-denis,monument,
porte saint-martin,monument,
rue des fossés-saint-bernard,street,
rue des fossés-saint-jacques,street,
rue des fossés saint-marcel,street,
place du trône,plaza,
place de la bataille-de-stalingrad,plaza,
place denfert-rouchereau,plaza,
place de la concorde,plaza,
place des vosges,plaza,
place dauphine,plaza,
place vendôme,plaza,
place de l'étoile,plaza,"l'étoile, the star"
place de la bastille,plaza,
place de furstemberg,plaza,
place de la république,plaza,
place de la nation,plaza,
place de l'étoile,plaza,
place de l'hôtel de ville,plaza,
place du carrousel,plaza,
place des victoires,plaza,
place du tertre,plaza,
place du trocadéro,plaza,
place vauban,plaza,
place victor hugo,plaza,
place d'italie,plaza,
place des ternes,plaza,
place léon blum,plaza,
place félix éboué,plaza,
place de l'opéra,plaza,
tour eiffel,monument,"eiffel tower, iron lady, dame de fer, la tour, la tour eiffel"
notre-dame de paris cathedral,church,"notre-dame de paris, notre-dame, our lady of paris, cathedral of our lady of paris, cathédrale notre-dame de paris"
the basilica of the sacré-cœur,church,"sacré-cœur basilica, the sacre-coeur, basilique du sacré-cœur, basilique du sacré-cœur de montmartre"
the pompidou center,monument,centre pompidou
palais du luxembourg,palace,
les invalides,monument,hôtel des invalides
sainte-chapelle,church,
ile de la cité,geographical formation,
conciergerie,monument,
cimetietière du père lachaise,cemetary,père lachaise
musée d'orsay,museum,"orsay museum, orsay"
musée du quai branly-jacques chirac,museum,
musée yves saint laurent,museum,
musée de l'orangerie,museum,"orangerie museum, orangerie"
catacombs of paris,cemetary,catacombs
la closerie des lilas,bar,the lilas
café de flore,cafe ,le flore
les deux magots,cafe ,deux magots
café de la paix,cafe ,
la rotonde,cafe ,
le select,cafe ,café select
shakespeare and company,bookstore,
harry's new york bar,bar,
le syndicat,bar,
hôtel ritz paris,hotel,
café procope,bar,le procope
ladurée,restaurant,
bois de boulogne,wood,
bois de vincennes,wood,
parc andré citroen,park,
parc de bagatelle,pak,
parc de belleville,park,
parc de bercy,park ,
parc georges-brassens,park,
parc de la butte-du-chapeau-rouge,park ,
parc des buttes-chaumont,park,
parc du champs-de-mars,park,
parc de choisy,park,
parc floral de paris,park,
parc kellermann,park,
parc monceau,park,
parc montsouris,park,
jardin atlantique,garden,
jardin du bassin de l'arsenal,garden,
jardin des champs-élysées,garden,
jardin du luxembourg,garden,luxembourg garden
jardins du palais royal,garden,
jardin des serres d'auteuil,garden,
jardins du trocadéro,garden,
jardin des plantes,garden,
jardin naturel,garden,
jardin des halles,garden,
jardin d'acclimatation,garden,
jardin pré catelan,garden,
jardin catherine-labouré,garden,
jardin du ranelagh,garden,
jardin shakespeare,garden,
jardin tino-rossi,garden,
jardin villemin,garden,
jardins d'avenue foch,garden,
cours-la-reine,park,
promenade plantée,promendade,
promendade des berges de la seine,promendade,
ile aux cygnes,geographical location,
la sorbonne,school,"sorbonne university, university of paris"
eglise saint-etienne-du-mont de paris,church,
chapel of our lady of the miraculous medal,church,
la madeleine,church,
cathedrale saint-louis des invalides,church,
eglise saint julien le pauvre,church,
eglise saint-roch,church,
eglise saint-paul saint-louis,church,
eglise saint-augustin,church,
eglise de la sainte-trinite,church,
pont amont,bridge,
pont national,bridge,
pont de tolbiac,bridge,
passerelle simone-de-beauvoir,bridge,
pont de bercy,bridge,
pont charles-de-gaulle,bridge,
right bank,geographical location,rive droit
left bank,geographical location,rive gauche
first arrondissement,neighborhood,"premier arrondissement, premier, le premier, louvre"
second arrondissement,neighborhood,"deuxième arrondissement, deuxième, le deuxième, bourse"
third arrondissement,neighborhood,"troisième arrondissement, troisième, le troisième, temple"
fourth arrondissement,neighborhood,"quatrième arrondissement, quatrième, le quatrième, hôtel-de-ville"
fifth arrondissement,neighborhood,"cinquième arrondissement, cinquième, le cinquième, panthéon"
sixth arrondissement,neighborhood,"sixième arrondissement, sixième, le sixième, luxembourg"
seventh arrondissement,neighborhood,"septième arrondissement, septième, le septième, palais-bourbon"
eighth arrondissement,neighborhood,"huitième arrondissement, huitième, le huitième, élysée"
ninth arrondissement,neighborhood,"neuvième arrondissement, neuvième, le neuvième, opéra"
tenth arrondissement,neighborhood,"dixième arrondissement, dixième, le dixième, entrepôt"
eleventh arrondissement,neighborhood,"onzième arrondissement, onzième, l'onzième, popincourt"
twelfth arrondissement,neighborhood,"douzième arrondissement, douzième, le douzième, reuilly"
thirteenth arrondissement,neighborhood,"treizième arrondissement, treizième, le treizième, gobelins"
fourteenth arrondissement,neighborhood,"quatorzième arrondissement, quatorzième, le quatorzième, observatoire"
fifteenth arrondissement,neighborhood,"quinzième arrondissement, quinzième, le quinzième, vaugirard"
sixteenth arrondissement,neighborhood,"seizième arrondissement, seizième, le seizième, passy"
seventeenth arrondissement,neighborhood,"dix-septième arrondissement, dix-septième, le dix-septième, batignolles-monceau"
eighteenth arrondissement,neighborhood,"dix-huitième arrondissement, dix-huitième, le dix-huitième, butte-montmartre"
nineteenth arrondissement,neighborhood,"dix-neuvième arrondissement, dix-neuvième, le dix-neuvième, buttes-chaumont"
twentieth arrondissement,neighborhood,"vingtième arrondissement, vingtième, le vingtième, ménilmontant"
la tour maine-montparnasse,tower,"tour montparnasse, maine-montparnasse tower"
latin quarter,area,
la défense,district,
la grande arche de la défense,monument,"la grande arche de la fraternité, arche de la  défense"
école normale supérieure,school,
école des mines de paris,school,
panthéon-assas university,school,
schola cantorum,school,
paris diderot university,school,
école polytechnique,school,
pierre and marie curie university,school,
institut de france,monument,
gare d'austerlitz,train station,
gare de bercy,train station,
gare de l'est,train station,
gare de lyon,train station,
gare montparnasse,train station,
gare du nord,train station,
gare saint-lazare,train station,
charles de gaulle airport,airport,
orly airport,airport,
abbesses,metro station,
alésia,metro station,
alexandre dumas,metro station,
alma-marceau,metro station,
anatole france,metro station,
anvers,metro station,
argentine,metro station,
arts et métiers,metro station,
asnières–gennevilliers–les courtilles,metro station,
assemblée nationale,metro station,
aubervilliers-pantin-quatre chemins,metro station,
avenue émile zola,metro station,
avron ,metro station,
bagneux,metro station,
balard,metro station,
barbès-rochechouart,metro station,
basilique de saint-denis,metro station,
bastille,metro station,
bel-air,metro station,
belleville,metro station,
bérault,metro station,
bercy,metro station,
bibliothèque françois mitterrand,metro station,
billancourt,metro station,
bir-hakeim,metro station,
blanche,metro station,
bobigny-pablo picasso,metro station,
bobigny-pantin-raymond queneau,metro station,
boissière,metro station,
bolivar,metro station,
bonne nouvelle,metro station,
botzaris,metro station,
boulogne-jean jaurès,metro station,
boulogne-pont de saint-cloud,metro station,
boucicaut,metro station,
bourse,metro station,
bréguet-sabin,metro station,
brochant,metro station,
buttes chaumont,metro station,
buzenval,metro station,
cadet,metro station,
cambronne,metro station,
campo formio,metro station,
cardinal lemoine,metro station,
carrefour pleyel,metro station,
censier-daubenton,metro station,
champs-élysées-clemenceau,metro station,
chardon lagache,metro station,
charenton-écoles,metro station,
charles de gaulle-étoile,metro station,
charles michels,metro station,
charonne,metro station,
château d'eau,metro station,
château de vincennes,metro station,
château rouge,metro station,
châtelet,metro station,
châtillon-montrouge,metro station,
chaussée d'antin-la fayette,metro station,
chemin vert,metro station,
chevaleret,metro station,
cité,metro station,
cluny-la sorbonne,metro station,
colonel fabien,metro station,
commerce,metro station,
concorde,metro station,
convention,metro station,
corentin cariou,metro station,
corentin celton,metro station,
corvisart,metro station,
cour saint-émilion,metro station,
courcelles,metro station,
couronnes,metro station,
créteil-l'échat,metro station,
créteil-préfecture,metro station,
créteil-université,metro station,
crimée,metro station,
croix de chavaux,metro station,
danube,metro station,
daumesnil,metro station,
denfert-rochereau,metro station,
dugommier,metro station,
dupleix,metro station,
duroc,metro station,
école militaire,metro station,
école vétérinaire de maisons-alfort,metro station,
edgar quinet,metro station,
église d'auteuil,metro station,
église de pantin,metro station,
esplanade de la défense ,metro station,
étienne marcel,metro station,
europe,metro station,
exelmans,metro station,
faidherbe-chaligny,metro station,
falguière,metro station,
félix faure,metro station,
filles du calvaire,metro station,
fort d'aubervilliers,metro station,
franklin d. roosevelt,metro station,
front populaire,metro station,
gabriel péri,metro station,
gaîté,metro station,
gallieni,metro station,
gambetta,metro station,
gare d'austerlitz,metro station,
gare de l'est ,metro station,
gare de lyon,metro station,
gare du nord,metro station,
